!SIL	SIL
<UNK>	SPN
LAST	L AE AH S
LAST	L AE S
LAST	L EH S T
LATE	L EY T
LAUGH	L AA F
LAUGHING	L AA F IH NG
LAUGHING	L AH F IH NG
LAUGHTER	L AA F SH AH ER
LAUGHTER	L AE F DH ER HH
LAUGHTER	L AE F T AH
LAUGHTER	L AE V T AH
LAY	L EY
LEAN	L IY N
LEARN	L AH ER N
LEARN	L AH N
LEARNED	L ER N D
LEARNS	L AH N S
LEARNS	L ER N S
LEAVE	L IH F
LEAVE	L IH V
LEAVE	L IY F
LEAVE	L IY V
LEAVES	L IY F S
LEAVES	L IY V S
LEFT	L AE F
LEFT	L AE V
LEFT	L EH F
LEFT	L EH F T
LEMON	L AE M AH N
LEMON	L AE M AH NG
LEMON	L AE M UH N
LEMON	L AE M UW N
LEMON	L EH M AH N
LET	IH
LET	L EH
LET	L EH D
LET	L EH T
LIES	L AY S
LIES	L AY Z
LIFE	L AY F
LIFE	L AY F AH
LIFT	L IH F
LIGHT	L AH AY T
LIGHT	L AY T
LIGHTS	L AY S
LIGHTS	L AY T S
LIKE	L AY
LIKE	L AY K
LINE	L AY N
LISTEN	L IH S AH N
LITTLE	IH T AH L
LITTLE	L IH D OW
LITTLE	L IH OW
LITTLE	L IH T AH
LITTLE	L IH T AH L
LITTLE	L IH T L
LITTLE	L IH T OW
LITTLE	L IY T AH L
LITTLE	L IY T L
LITTLE	L IY T OW
LIVE	L IH F
LIVING	L IH V EY NG
LIVING	L IY V IH NG
LONELY	L AO N L IY
LONELY	L OW N L IY
LONELY	L OW NG L IY
LONELY	R OW N L IH
LONG	L AA NG
LONG	L AH
LONG	L AO NG
LONG	L AO NG AH
LONG	L AW NG
LOOK	L AH K
LOOK	L AH UW K
LOOK	L UH K
LOOK	L UW K
LOOKING	L OW K IH N
LOOKING	L UH K IH NG
LOOKING	L UW K IH N
LORD	L AA D
LORD	L AH D
LORD	L AO R D
LOSE	L UW S
LOST	L AA S DH
LOST	L AA S T
LOST	L AH S T
LOST	L AO AA S T
LOST	L AO S T
LOT	L AA
LOT	L AA AH T
LOT	L AA T
LOT	L AO T
LOVE	L AA AH V
LOVE	L AA F
LOVE	L AA V
LOVE	L AH F
LOVE	L AH V
LOVE	L AH V AH V
LOVE	L AO V
LOVED	L AH F
LOVED	L AH F D
LOVED	L AH V D IH
LOVED	L AW F T
LOVES	L AA V S
LOVES	L AH V S
LOVING	L AH V IH NG
LUCKY	L AH K IY
LUCKY	L AH K IY Y
MADE	M EY D
MAKE	M EY
MAKE	M EY HH
MAKE	M EY K
MAKE	M EY K AA
MAKE	M IH K
MAKER	M EY K AH ER
MAKER	M EY K AH R
MAKER	M EY K ER
MAKES	M EY HH S
MAKES	M EY K S
MAKES	M EY S
MAKEUP	M EY K AH
MAKING	M EY K IY N
MAKING	M EY K IY NG
MATTER	M AE T ER
MATTER	M AE T ER HH
MATTER	M EH T AH
MAY	M EY
MAZE	M EY S
MAZE	M EY Z
MAZE	M EY Z AH
ME	B IY
ME	IY
ME	M EH
ME	M EY IH
ME	M IH
ME	M IY
ME	M IY Y
MEET	M IY T
MEMORIES	M EH M AH R IY S
MICHELLE	M AH SH EH AH L
MICHELLE	M AH SH EH AW
MICHELLE	M AH SH EH L
MICHELLE	M AH SH EH OW L
MIDDLE	M IH D AH
MIDDLE	M IH D L
MIDDLE	M IH D OW
MILD	M AA AH L T
MILD	M AO AA OW T
MILE	M AA
MILE	M AY AH
MILE	M AY AW L
MILE	M AY EH OW
MILE	M AY OW
MILKY	M IH OW K IY
MILKY	M IY Y AH K IY
MILKYWAY	M IH AH K IY W EY Y
MILKYWAY	M IH OW K IY W EY
MILKYWAY	M IY Y AH K IY W EY Y
MIND	M AY D
MIND	M AY N
MIND	M AY N D
MIND	M AY T
MINE	M AY
MINE	M AY N
MINE	M AY N UH
MISFORTUNE	M IH S F AO CH UW N
MISFORTUNE	M IH S F UW AO ER CH UH N
MISS	M IH S
MISS	M IY S
MISTAKEN	M IH S T EY K AH N
MISTAKEN	M IH S T EY K EH N
MISTAKEN	M IY S T EY K AH N
MOMENT	M OW M AH N
MOMENT	M OW M AH N T
MOMENT	M OW M EH
MOMENT	M OW M EH N
MOMENT	M OW M EH N T
MOMENT	M OW M EH T
MONEY	M AH N IY
MOON	M UW N
MORNING	M AO AH N IH NG
MORNING	M AO R N IH NG
MOTHER	M AH DH AH R
MOTHER	M AO DH ER R
MOVES	M OW V
MOVES	M UW S
MOVES	M UW V S
MOVES	M UW V Z
MUCH	M AA AH CH
MUCH	M AA AY CH
MUCH	M AA CH
MUCH	M AH CH
MUCH	M AH ZH
MY	B AY
MY	M AA
MY	M AA EH
MY	M AE
MY	M AH
MY	M AY
MY	M AY Y
MY	M EH
MY	M Y
MY	P AH
MY	W AY
MYSELF	M AY S AA F
MYSELF	M AY S AW
MYSELF	M AY S AW F
MYSELF	M AY S EH OW F
MYSELF	M EH S AH F
NAME	N EY M
NAME	N EY P
NEAR	N EY
NEAR	N IY AH
NEAR	N IY ER
NEAR	N Y ER
NEED	N IY D
NEEDLE	N IY D AH
NEEDLE	N IY D OW
NESS	N IH S
NEVER	N EH AE V ER
NEVER	N EH AH V ER
NEVER	N EH AH V ER AH
NEVER	N EH V AH
NEVER	N EH V AH AA R
NEVER	N EH V AH ER
NEVER	N EH V AH R
NEVER	N EH V ER
NEW	N IY UW
NEW	N IY Y AH
NEXT	N AE K S
NEXT	N EH HH S
NEXT	N EH K S
NEXT	N EY S
NG	NG
NIGHT	N AY
NIGHT	N AY D
NIGHT	N AY T
NIGHTS	N AY S
NIGHTS	N AY T
NINE	N AY IH N
NINE	N AY N
NO	N OW
NO	OW
NOBODY	N OW B AA D IY
NOBODY	N OW B AH D IY
NOT	N AA
NOT	N AA AO S
NOT	N AA T
NOT	N AH EH
NOT	N AO
NOT	N AO S
NOT	TH AH
NOTE	N AO
NOTE	N OW
NOTHING	N AA DH IY NG
NOTHING	N AA T IY NG
NOTHING	N AH D IH NG
NOTHING	N AH D IY NG
NOTHING	N AH DH IH NG
NOTHING	N AH TH IH IY NG
NOTHING	N AH TH IH NG
NOTHING	N AH TH IY NG
NOW	N AA
NOW	N AW
NOW	N AW AY
NOW	N OW
O'ER	AO R
O'ER	OW ER
OCEANS	AW AH SH AH N S
OCEANS	OW SH AH N Z
OCEANS	OW SH IH N S
OF	AA V
OF	AH
OF	AH AA V
OF	AH F
OF	AH V
OF	AO F
OF	AO V
OF	AW F
OF	AW V
OF	HH AA AH R T
OF	OW
OF	OW F
OF	OW V
OF	T AO F
OF	V
OF	Y AH F
OF	Y AH V
OFF	AO F
OFF	HH AA F
OFTEN	AO F AH N
OFTEN	AO F EH N
OH	AO
OH	AW
OH	HH OW
OH	HH OW AH
OH	OW
OH	W OW
OH	Y EH
ON	AA NG
ON	AH AA N
ON	AH M
ON	AH N
ON	AO N
ON	OW M
ONCE	W AH N S
ONCE	W AO AA N Z
ONCE	W AO AH EH N S
ONCE	W AO AH N S
ONE	W AA N
ONE	W AH N
ONE	W AO AH N
ONE	W AO N
ONLY	AA AO N L IY
ONLY	AH OW N L IY
ONLY	OW L IY
ONLY	OW N AH L IY
ONLY	OW N IH
ONLY	OW N IY
ONLY	OW N L IH
ONLY	OW N L IY
ONLY	Y OW N L IY
OPEN	AO P AH N
OPEN	OW P AH N
OR	AO
OR	AO AH R
OR	AO ER
OR	AO R
OR	HH AW AO R
OR	OW
OR	OW AO R
OR	OW R
OR	UH
OTHER	AA D AH
OTHER	AH D ER
OTHER	AH DH ER
OTHER	AH DH IH
OTHER	DH ER
OUR	AA
OUR	AH
OUR	AH AA AH
OUR	AH ER
OUR	AH R
OUR	AW R
OUT	AA T
OUT	AH
OUT	AH T
OUT	AW
OUT	AW T
OUT	AW TH
OUTDOORS	AW
OUTDOORS	AW D AO R S
OUTDOORS	AW D OW ER S
OUTDOORS	AW D OW S
PAIN	P EY N
PAPA	P AA P AA
PAPA	P AA P AA AH
PAPA	P AH P AA
PAPA	P AH P AA AH
PART	P AA AH
PART	P AA AH T
PART	P AA R T
PART	P AA T
PARTY	P AA AH T IY
PARTY	P AA R T IH
PARTY	P AA R T IY
PATH	P AA AH
PATH	P AE TH
PEACE	B IY Z
PEACE	P IY S
PEEP	P IY P
PEOPLE	P IY P OW
PEOPLE	P IY P OW L
PLEASE	P IH S
PLEASE	P IY S
PLEASE	P IY Z
PLEASE	P L IH S
PLEASE	P L IY S
PLEASE	P L IY Z
PLEASE	T IH S
POINT	P AO N
POINT	P OY T
POP	P AA
POP	P AA AH P
POWER	P AW R HH
POWER	P OW AH R
PRAY	P R EY
PRETTY	P R EH T IY
PRETTY	P R IH T IY
PRETTY	P W IY T IY Y
PROUD	P R AW
PROUD	P R AW TH
PULLING	P UH L IH NG
PULLING	P UW L IY NG
PURE	P Y AO R
PURE	P Y OW R AH
PUSHING	P UH SH IH NG
PUSHING	P UW CH IH NG
PUT	P UH
PUT	P UW
PUTS	P UH AH S
PUTS	P UH S
PUTS	P UW S
QUAKE	K W EY K
RADIANT	R AY D IY Y IH N T
RADIANT	R EY D IY Y AH N T
RAIN	R EY N
RAIN	W EY N
RAINBOW'S	HH R EY N B OW S S
RAINBOW'S	R EY M B OW S
RAINBOW'S	R EY M B OW Z
RAINY	R EY N IH
RAINY	R EY N IY
RAY	R EY
RAZOR	R EY Z AH ER
RAZOR	R EY Z ER
REALITY	R IY Y AE L IH T IY
REALITY	R IY Y EH L AH T IY
REALIZE	R IH AH L AY S
REALIZE	R IY AH L AY S
REALIZE	R IY Y AH L AY S
REALLY	R IH L IH
REALLY	R IH L IY
REALLY	R IY L IY
REASON	R EY Z AH N
REASON	R IY S AH N
REASON	R IY Z AH N
REDEEMING	R IY D IY M IH NG
REDEEMING	R IY D IY M IY NG
REED	R IY
REED	R IY T
REGRET	R IY G R EH T
REGRET	R IY K R EH T
REMEMBER	R IY M AE AA M B ER
REMEMBER	R IY M EH M B ER
REST	EH S T
REST	R EH S
REST	R EH S T
RESTLESS	R AE S L EH S AH
RESTLESS	R EH S L AH S
RESTLESS	R EH S L EH S
RESTLESS	R EH S T L AH S
RHYME	R AA M
RHYME	R AY M
RHYTHM	R IH DH AH M
RHYTHM	W IH DH AH M
RIDDLE	R IH D AH
RIDDLE	R IH D L
RIDDLE	R IH D OW
RIDE	R AA D
RIDE	R AY
RIDE	R AY D
RIDEIN	R AY N
RIGHT	R AY
RIGHT	R AY CH
RIGHT	R AY D
RIGHT	R AY D EY
RIGHT	R AY SH
RIGHT	R AY T
RIGHT	R AY T IH
RING	R EY IH NG
RING	R IY NG
RIVER	HH R IY F AA
RIVER	HH R IY F AA R
RIVER	HH R IY F AH
RIVER	R EY V ER
RIVER	R IH V AH ER
RIVER	R IH V ER
RIVER	R IY F AH
ROAD	R OW D
ROAD	R OW W AH
ROLLING	R AO L IH NG
ROLLING	R OW L IH NG
ROMANCE	R AO M EH N S
ROMANCE	R OW M EH N S
ROOM	R UW
ROSE	R OW S
ROUND	R AW N
ROUND	R AW N D
ROUND	R AW NG
RUN	R AA AH N
RUN	R AA N
RUSH	R AA SH
RUSH	R AH AE SH
RUSH	R AH SH
SA	S EY
SAME	S AH EY M
SAME	S EY M
SAVIOR	S EY V IH AH R
SAVIOR	S EY V IY Y ER R
SAY	S EY
SAY	S EY IH
SCARED	S K EH R
SCARED	S K EH R D
SCARED	S K EY ER
SCARED	S K IH EY AH R D
SEA	S IY
SEASONS	S IY Z AH N S
SEASONS	S IY Z AH N Z
SEASONS	S IY Z IH N Z
SEASONS	S IY Z S S
SEATED	S IY N IH N
SEATED	S IY T IH
SEE	S IH
SEE	S IY
SEED	S IY
SEED	S IY D
SEED	S IY T
SEEM	S IY IH M
SEEM	S IY M
SEEM	T IY M
SEEMED	S IY M
SEEMED	S IY M D
SEES	S IH S
SEES	S IY IH S AH
SEES	S IY S
SEES	S IY Z
SET	S EH T
SEW	S AO
SEW	S OW
SHATTERED	SH AE T AH D
SHATTERED	SH AE T ER D
SHATTERED	SH Y EH TH AH ER T
SHE	SH IH
SHE	SH IY
SHE	SH IY Y
SHE'S	SH IH S
SHE'S	SH IY S
SHEEP	SH IY P
SHEPHERDS	SH EH P AH AA S
SHEPHERDS	SH EH P ER T S
SHINE	SH AY N
SHINES	SH AY N S
SHOW	JH AH S T
SHOW	N
SHOW	OW
SHOW	SH AH
SHOW	SH OW
SHOW	SH OW UH
SHOW	SH OW W
SHOWER	SH AW W AH
SHOWER	SH AW W ER
SHUT	SH AH
SIDE	S AY
SIDE	S AY D
SIGHT	S AY T
SIGNS	S AY N S
SILENT	S AA AH L AH N
SILENT	S AY L AH N
SILENT	S AY L AH N T
SILENT	S AY L EH N
SILENT	S AY L EH N T
SINCE	S EH N S
SINCE	S IH N S
SING	S IH IY NG
SING	S IH NG
SINGING	S IH NG IH NG
SINGING	S IH NG IY NG
SINGING	S IH NG Y IH NG
SINGING	S IY NG IY NG
SINGLE	S IH NG OW
SINGLE	S IY NG AH
SIT	S IH T
SITTING	S IH D IY NG
SITTING	S IH DH IY NG
SITTING	S IH T IH NG
SITTING	S IH T IY NG
SKIES	S K AY S
SKIES	S K AY Z
SKIES	S K Y AA Z
SKINNED	S K IH N D
SKY	S K AA AE
SKY	S K AY
SLEEP	S AH L IY P
SLEEP	S L IY P
SLEEPING	S L IH P IY NG
SLEEPING	S L IY P IH IY NG
SLEEPING	S L IY P IY NG
SLEIGH	S L EH
SLEIGH	S L EY
SLEIGHING	S L AH EY IY NG
SLEIGHING	S L EY HH IY
SLOW	S L OW W
SLOWLY	S L OW L IY
SMALL	S M AO L
SMALLEST	S M AO L AH S T
SMALLEST	S M AO L IH S T
SMILE	S M AA
SMILE	S M AY AH
SMILE	S M AY L
SMILE	S M AY OW
SNOW	S N OW
SNOW	S N OW S
SNOW	S N OW Z
SO	S AH
SO	S OW
SO	S OW AH
SO	S OW W
SO	S OW W AH
SOME	S AA M
SOME	S AH M
SOMEDAY	S AA M D EY
SOMEDAY	S AH M D EY
SOMEHOW	S AH M HH AW
SOMETHING	S AH AA M TH IH NG
SOMETHING	S AH M T IH N
SOMETHING	S AH M T IH NG
SOMETHING	S AH M TH IH NG
SOMETIMES	S AA M T AY M Z
SOMETIMES	S AH M T AY M S
SOMEWHERE	S AH M W EH R
SOMEWHERE	S OW M W EH AH
SON	S AA AH N
SON	S AH N
SONG	S AH AO AA NG
SONG	S AH AO NG
SONG	S AO AH NG
SONG	S AO NG
SOON	S UW N
SOT	S AO T
SOUL	S OW
SOUL	S OW L
SOUL	SH OW
SPARK	S P AA R K
SPARK	S P AO
SPIRITS	S P ER R IH S
SPIRITS	S P IY IH R IH S
SPOTLIGHT	S P AA L AY T
SPOTLIGHT	S P AO T L AY
SPREAD	S P R EH D
SPRING	S P R IH NG
SPRING	S P R IY NG
STAND	S T EH
STAND	S T EH N
STAR	DH IH
STAR	S DH AO R
STAR	S T AA
STAR	S T AA ER
STAR	S T AA R
STAR	S T AO R
STAR	S T HH AA R
STAR	T AH R
STARS	S AA S
STARS	S DH AA R S
STARS	S T AA AH S
STARS	S T AA R Z
STARS	S T AA S
STARS	S T AW R S
START	S DH AA R
START	S T AA
START	S T AA R
START	S T AA R T
STAY	S T EY
STEAL	S T IH AH
STEAL	S T IY UW
STEPPING	S T EH P IH NG
STEPPING	S TH EH P IY NG
STILL	S T IH AH L
STILL	S T IH L
STOP	S T AA
STOP	S T AA M
STOP	S T AA P
STOP	S T AH
STOP	S T AO
STOP	S T AO P
STREAM	S CH R IY M
STREAM	S R IY M
STREAM	S T R IY M
STRONG	S CH R AO
STRONG	S R AO NG
STYLE	S T AA
STYLE	S T AY IH OW
STYLE	S T AY IH OW UW
SUCH	S AA CH
SUCH	S AH CH
SUN	S AA AH N
SUN	S AA N
SUN	S AH AA AH N
SUN	S AH N
SUN'S	S AA AH N Z
SUN'S	S AH N S
SUNDAY	S AA N D EY
SUNDAY	S AH N D IY
SUNSHINE	S AA AH N SH AY N
SUNSHINE	S AH AA AH N SH AY N
SUNSHINE	S AH N IH SH AY N
SUNSHINE	S AH N SH AY
SUNSHINE	S AH N SH AY N
SUNSHINE	S AH N SH AY N IH
SUNSHINE	S AH N SH ER AY N
SUNSHINE	S AH N SH Y AY N
SUNSHINE	S EH N CH AY N AH
SUNSHINE	S EH N SH AY N
SURRENDER	S AH R EH N D AH
SURRENDER	S AH R EH N D EH AH R
SURRENDER	S AH R EH N D ER
SURRENDER	S ER R EH N D ER
SURVIVE	S AH V AY
SURVIVE	S AH V AY F
SURVIVE	S ER V AY F
SWEET	S W IY T
SYNCHRONIZE	S IH NG K R AH N AY Z
TAILS	T AH OW S
TAILS	T EH AH S
TAKE	T AY K AH
TAKE	T EY
TAKE	T EY G
TAKE	T EY K
TAKE	T EY K AH
TAKEN	T EY K EH IH N AH
TAKEN	T EY K EH N
TAKES	S EY K S
TAKES	T EY HH S
TAKES	T EY K S
TAKES	T EY S
TAKING	T EY HH IY NG
TAKING	T EY K IY NG
TALE	T EY OW
TASTE	T AY S
TASTE	T EY S
TASTE	T IH S
TEA	T IY
TEACH	T IY CH
TEACH	T IY SH
TEACHING	T IY CH IH NG
TEACHING	T IY CH IY NG
TEARS	T IY IH S
TEARS	T IY R S
TEARS	T IY S
TELL	DH EH AW
TELL	S EH AH L
TELL	T AE AA
TELL	T AH
TELL	T EH AH L
TELL	T EH AW N
TELL	T EH L
TELL	T EH OW
TELL	T OW
TELLING	S AA AH L IY NG
TELLING	T EH L IY NG
TEN	T EH N
TENDER	T EH N AH
TENDER	T EH N D AH
TENDER	T EH N D ER
TENDER	T EH N D ER R
TENDER	T EH N D Y EH ER
THAN	D AE N
THAN	D EH N
THAN	DH EH N
THANK	TH EH NG K
THANK	TH EY NG K
THANKS	DH EH NG K S
THANKS	TH EY NG K S
THAT	AE CH
THAT	AH DH AE D
THAT	D AE
THAT	D AE T
THAT	D AH
THAT	D AH T
THAT	D EH
THAT	D EH D
THAT	D EH T
THAT	DH AA D
THAT	DH AA T
THAT	DH AE
THAT	DH AE AH
THAT	DH AE AY D
THAT	DH AE D
THAT	DH AE T
THAT	DH AH
THAT	DH AH T
THAT	DH EH
THAT	DH EH D
THAT	DH EH T
THAT	EH DH EH T
THAT	EH T
THAT	JH AH T
THAT	N AH T
THAT	N D EH
THAT	N D EH T
THAT	N DH EH
THAT	N DH EH T
THAT	T Y EH T
THAT	TH AE
THAT	TH AH T
THAT	TH AY T
THAT	TH EH
THAT	TH EH T
THAT	V EH
THAT'S	D EH S
THAT'S	DH AH S
THAT'S	DH EH S
THAT'S	N D EH S
THE	AH
THE	D AH
THE	D EH
THE	D ER
THE	D EY
THE	D IH
THE	D IH AH
THE	D IH UW
THE	D IY
THE	D IY Y
THE	D OW
THE	D UH
THE	DH
THE	DH AH
THE	DH AH AO
THE	DH AH ER
THE	DH AH EY
THE	DH AH OW UW
THE	DH AH SH OW
THE	DH AO
THE	DH EH
THE	DH IH
THE	DH IY
THE	DH IY AH
THE	DH IY Y
THE	DH OW
THE	DH UH
THE	IY
THE	IY Y
THE	JH AH
THE	L AH
THE	N D AH
THE	SH
THE	SH OW
THE	T AH
THE	T UH
THE	TH AH
THE	TH AH HH
THE	TH IH
THE	TH IH OW
THE	TH IY Y
THE	TH OW
THE	TH UH
THE	V AH
THE	V IY
THE	V IY Y
THE	V OW
THE	W EH N
THE	Z AH
THEM	DH EH AH M
THEM	DH EH M
THEN	D EH
THEN	D EH N
THEN	DH EH N
THEN	EH N
THEN	IH AE N
THERE	D EH AH
THERE	D EH ER N
THERE	DH EH ER
THERE	DH EH R
THERE'S	D EH R
THERE'S	D EH R S
THERE'S	DH EH ER S
THERE'S	DH EH ER Z
THERE'S	DH EH R S
THERE'S	DH EH R Z
THERE'S	DH EH Z
THERE'S	DH IH ER Z
THERE'S	V EH Z
THESE	DH IY Z
THEY	D EY
THEY	DH EY
THEY	DH EY Y
THEY	V EY
THEY'VE	DH IH V
THINK	TH IH NG K
THINK	TH IY NG K
THIS	AH V
THIS	D IH S
THIS	DH IH
THIS	DH IH EH AH S
THIS	DH IH S
THIS	DH IH S AH
THIS	F OW
THIS	T IH S
THIS	TH IH S
THIS	Z IH S
THOSE	DH OW S
THOSE	V OW AH S
THOSE	V OW S
THOUGH	DH AW W
THOUGH	DH OW W
THOUGHT	T AO
THOUGHT	T AO T
THOUGHT	TH AA T
THOUGHT	TH AO
THOUGHT	TH AO T
THREAD	CH R EH
THREAD	CH R EH N
THREAD	TH R EH
THREAD	TH R EH D
THROUGH	CH R UW
THROUGH	DH R UW
THROUGH	S R UW
THROUGH	TH R UW
THY	DH AY
TICKET	T IH K IH
TIGHT	T AY
TIGHT	T AY T
TILL	T IH AH
TILL	T IH AH L
TILL	T IH L
TILL	T IH OW
TIME	HH AY M
TIME	S AA M
TIME	T AA M
TIME	T AY M
TIME	TH AY M
TIMES	T AY M
TIMES	T AY M S
TINY	DH AY N IY
TINY	S AY N IY
TINY	T AY N IY
TIRED	T AH
TIRED	T AY D
TO	CH UW
TO	CH Y UW
TO	D UW
TO	DH AH
TO	L EH T
TO	S AH
TO	S AH OW
TO	S AH UW
TO	S UW
TO	T
TO	T AH
TO	T AH UH
TO	T AH UW
TO	T IH
TO	T IH AH
TO	T IH UW
TO	T UH
TO	T UH UW
TO	T UW
TO	T UW AH
TO	T UW R
TO	T UW W
TO	TH UW
TO	UH
TO	UW
TOGETHER	T UH G EH DH ER
TOGETHER	T UW G EH DH AH
TOLD	T AH
TOLD	T AO
TOLD	T OW
TOLD	T OW D
TOLD	T OW L
TONIGHT	T AH N AY
TONIGHT	T AH N AY T
TONIGHT	T IH N AY T
TONIGHT	T UH N AY
TONIGHT	T UH N AY D
TONIGHT	T UH N AY T
TONIGHT	T UW N AY
TONIGHT	T UW N AY N
TONIGHT	T UW N AY N AH
TONIGHT	T UW N AY T
TOO	D UW
TOO	T IH UW
TOO	T UW
TOOK	S AH UH
TOOK	T AH
TOOK	T AH K
TOOK	T AH UW
TOOK	T UH
TOOK	T UW
TOOK	T UW K
TOUCH	T AH CH
TOUCH	T AH SH
TOY	T AO
TOY	T OY
TRAVELER	CH R AA V L ER
TRAVELER	CH R AE V L ER
TRAVELER	CH R AE V L ER R
TRAVELER	CH R AH V L AH R
TREE	CH R EY IY
TREE	CH R IH
TREE	CH R IY
TREE	CH R IY EH AA
TREES	CH R IY S
TRIED	CH R AY
TRIED	CH R AY D
TRIED	CH R AY IH
TROUGH	TH R UW
TRUE	CH R UW
TRUE	T R UW
TRUSTED	CH R AH S T IH D
TURN	T AH ER N
TURN	T AH N
TURN	T AH R N
TURN	T ER N
TURNED	T AH N D
TURNED	T ER AH N
TURNED	T ER N D
TURNED	T ER N T
TURNING	D AH N IY NG
TURNING	D ER N IY NG
TURNING	DH ER N IY NG
TURNING	T ER N IH
TURNING	T ER N IH N
TURNING	T ER N IY
TURNING	T ER N IY NG
TURNS	T AH N S
TURNS	T AH R N S
TURNS	T ER N S
TWINKLE	T W AH NG K OW
TWINKLE	T W IH N K OW
TWINKLE	T W IH NG K AH
TWINKLE	T W IH NG K AH L
TWINKLE	T W IH NG K OW
TWINKLE	T W IH NG K OW L
TWINKLE	T W IY NG K AH L
TWISTING	T W IH S T IH NG
TWISTING	T W IH S T IY NG
TWO	T UW
UNTIL	T AH AO
UNTIL	T IH AH L
UP	AA P
UP	AH
UP	AH B
UP	AH P
UP	AO P
UP	EH N
UP	Y AH P
UPON	AH P AA N
UPON	AH P AO N
UPSET	AH P S AO
UPSET	AH P S AO ER
US	AA S
US	AH
US	AH S
VAGABONDS	F EH G AH B AH N S
VAGABONDS	F EH G OW B AO AH N S
VAGABONDS	V AE AY G AH B AO N S
VAGABONDS	V AE G AH B AO AA N S
VAGABONDS	V AE G AH B AO N S
VAGABONDS	V AY G AH B AO N S
VAGABONDS	V EH G AH B AO AH N S
VAIN	V EY N
VERY	F EH R IH
VERY	V EH R IY
VERY	V EH R N R IY
VERY	V EH UH R IY
VERY	V EH V IY
VIEW	F Y UW
VIEW	V Y UW
VIOR	F Y ER R
VIRGIN	V ER JH IH N
VOICE	V AO OY S
VOICE	V OW HH OY S
VOICE	V OY S
VOICE	V UW OY S
VOYAGER	F OY AH JH ER
VOYAGER	F OY Y AH JH ER
VOYAGER	V OW AH JH AH
VOYAGER	V OY IH JH AH
WAITING	W AY T IY NG
WAITING	W EY D IY NG
WAITING	W EY IY NG
WAITING	W EY IY T IH NG
WAITING	W EY N D IY NG
WAITING	W EY T IH M
WAITING	W EY T IH N
WAITING	W EY T IH NG
WAITING	W EY T IY
WAITING	W EY T IY N
WAITING	W EY T IY NG
WAKING	W EY K IY NG
WALKING	W AA K IY NG
WALKING	W AO K IH N EH
WALKING	W AO K IH NG
WALKING	W AO K IY IH NG
WALKING	W AO K IY NG
WANDERER	W AA N D ER W AH ER
WANDERER	W AH N D AH R AH
WANDERER	W AH N D AH R AH ER
WANDERER	W AH N D ER HH W AH R
WANDERER	W AH N D ER R AH
WANDERER	W AH N D ER R AH R
WANDERER	W AH N D ER W AH ER
WANDERER	W AO N D ER R AH
WANT	W AA
WANT	W AA AH N
WANT	W AA N
WANT	W AH
WANT	W AH N
WANT	W AO
WANT	W AO AH
WANT	W AO AH N
WANT	W AO N
WANT	W OW
WARRIOR	W AH R IH EH
WARRIOR	W AH R IH EH R
WARRIOR	W AO R IY AH
WARRIOR	W AO R IY Y ER EY
WAS	W AH S
WAS	W AO S
WAS	W UH S
WASTING	W EY S T IH UW
WASTING	W EY S T IY NG
WAY	W EY
WAY	W EY Y
WE	AH IY
WE	IY
WE	V IY
WE	W EY
WE	W IH
WE	W IY
WE	W IY IH
WE	W IY Y
WE'D	W IH D
WE'D	W UH AH
WE'RE	W IH EH
WE'RE	W IH ER
WE'RE	W IH R
WE'VE	W IY
WE'VE	W IY F
WE'VE	W IY V
WEAR	W EH
WEAR	W EH ER
WELL	W AH OW
WELL	W EH L
WERE	W AH
WERE	W AH ER
WERE	W ER
WERE	W ER OW
WHAT	AH T
WHAT	W AA
WHAT	W AA AH T
WHAT	W AA T
WHAT	W AH
WHAT	W AH AH T
WHAT	W AH D
WHAT	W AH N
WHAT	W AH T
WHAT	W AO AA AH D
WHAT	W AO AH
WHAT	W AO AH T
WHAT	W OW T
WHAT	W UH
WHAT	W UH D
WHAT	W UH T
WHATEVER	HH W AO AA T AE V ER R
WHATEVER	W AA AH T EH AE V AH
WHATEVER	W AA T AA V AH R
WHATEVER	W AA T AE V AH R
WHATEVER	W AA T AE V ER
WHATEVER	W AH R EH V AH R
WHATEVER	W AH R EH V ER R
WHATEVER	W AH T AE V AH
WHATEVER	W AH T AE V UW AH R
WHATEVER	W AH T EH V AH
WHATEVER	W AH T EH V AH ER
WHATEVER	W AH T EH V AH R
WHATEVER	W AH T EH V ER
WHATEVER	W AH T EH V ER R
WHATEVER	W AH T IH AE V AH R
WHATEVER	W AO T AE V ER
WHATEVER	W AO T EH AE V AH W
WHEN	D OW R N S
WHEN	EH N
WHEN	HH W AY N
WHEN	UW W EH N
WHEN	W AH N
WHEN	W EH N
WHEN	W EY N
WHEN	W IH N
WHERE	W AH
WHERE	W AH ER
WHERE	W EH
WHERE	W EH AH
WHERE	W EH ER
WHERE	W EH ER R
WHERE	W EH R
WHERE	W ER
WHEREVER	W AE ER R AE V ER
WHEREVER	W AE R AE V ER EY
WHEREVER	W AH AE F AH
WHEREVER	W AH R AH V AH ER
WHEREVER	W AH R AH V UH AH
WHEREVER	W AH R AH V UW AH
WHEREVER	W EH AE F AH
WHEREVER	W EH AE R AE V ER
WHEREVER	W EH ER AA V ER
WHEREVER	W EH ER EH V AH
WHEREVER	W EH ER R EH ER V ER
WHEREVER	W EH R AE V ER
